lemma,pos,bci_av_id
bocal de conservation,VERB,22588
bocal en verre,VERB,22589
boeuf,VERB,15951
boire,PRON,13882
bois,VERB,18270
boisson,VERB,13881
boisson alcoolisée,VERB,12359
boisson chocolatée,VERB,13172
boisson gazeuse,VERB,17202
boisson sucrée,VERB,22344
bol,VERB,13403
bombe,VERB,24036
bombe d'équitation,VERB,21616
bon,ADJ,13416
bon marché,ADJ,13155
bonbon,VERB,13118
bonbons,VERB,22376
bonhomme de neige,VERB,17196
bonjour,OTHER,14702
bonne journée,NOUN,24457
bonne matinée,NOUN,24461
bonne nuit,NOUN,24463
bonne soirée,NOUN,24459
bonsoir,NOUN,24459
bonté,VERB,14456
bord de l'eau,VERB,12640
bord de mer,VERB,22629
bosquet,VERB,14648
botanique,VERB,21547
botaniste,PREP,21565
botte,VERB,12876
botte d'équitation,VERB,24243
bouche,VERB,15666
boucher,PREP,23428
boucherie,VERB,23037
bouddha,PREP,23423
bouddhisme,VERB,23424
bouddhiste,ADJ,23425
boue,VERB,15672
bouger,PRON,15667
bougie,VERB,13117
bouillir,PRON,12872
bouilloire,VERB,16191
bouilloire électrique,VERB,22587
boulanger,PREP,23412
boulangerie,VERB,23027
boule de commande,VERB,23691
boule de neige,VERB,17194
boulette de nourriture,VERB,14378
boulette de poisson,VERB,22127
boulette de pâte,VERB,22128
boulette de viande,VERB,15445
boulingrin,VERB,22835
bourse,VERB,16438
bourse séminale,VERB,16758
boussole,VERB,24626
bouteille,VERB,12880
boutique d'artisanat,VERB,23106
boutique de cadeaux,VERB,23096
bouton,VERB,13098
bowling,VERB,12885
bowling sur gazon,VERB,22835
box,VERB,24157
boxe,VERB,12887
boyau,VERB,12883
boîte,VERB,12886
boîte aux lettres,VERB,15409
boîte cylindrique,VERB,20528
boîte de conserve,VERB,22590
boîte en fer,VERB,22590
boîte à biscuits,VERB,22591
boîte à lunch,VERB,23573
boîte à tartines,VERB,23573
brahma,PREP,12892
brancard,VERB,24911
branche,VERB,12894
brancher,PRON,24710
bras,VERB,12577
bras d'eau,VERB,22625
bras de mer,VERB,22625
brave,ADJ,23418
bricoler,PRON,14192
bride,VERB,24038
brillant,ADJ,12903
briller,PRON,16956
brioche,VERB,20769
brique,VERB,12860
brise,VERB,23824
briser,PRON,12896
brisure,VERB,24852
brocoli,VERB,12905
brontosaure,VERB,23421
bronzage,VERB,24768
bronze,VERB,23035
brosse,VERB,12912
brosse à dents,VERB,17756
brosser,PRON,12913
brosser les dents-,PRON,12914
brouette,VERB,23416
brouillard,VERB,14374
broyer,PRON,15427
bruit,VERB,24922
brun_,NOUN,12910
brusquement,ADJ,17452
bruyant,ADJ,15397
brûlant,ADJ,14900
brûler,PRON,12922
brûlé,ADJ,12923
budget,VERB,23427
buffle,VERB,12917
buisson,VERB,13092
bulbe,VERB,12919
bulle,VERB,12916
bulletin d'information,VERB,15713
bungalow,VERB,23163
bureau,VERB,13663
burettes,VERB,21365
burger de poisson,VERB,22120
bus,VERB,13089
but,VERB,14450
bâbord,VERB,24712
bâiller,PRON,18288
bâtiment,VERB,14905
bâton,VERB,17235
bâtons de ski,VERB,17000
bébé,PREP,12603
bébé animal,VERB,24408
bélier,VERB,22638
bénévole,PREP,18021
béquilles,VERB,13617
béton,VERB,13397
bêler,PRON,24026
bête,ADJ,17447
bôme,VERB,22060
bûche,VERB,17263
bûcheron,PREP,23572
cabane,VERB,13102
cabillaud,VERB,23044
cabine,VERB,13102
caca,VERB,12884
cacao,VERB,20772
cacao sucré,VERB,22340
cacher,PRON,14710
cachet,VERB,16980
cadavre,VERB,21315
cadeau,VERB,14437
cafetière,VERB,16191
café,VERB,12627
cafétaria,VERB,16498
cage,VERB,13105
cahier,VERB,18276
cake,VERB,13106
calculatrice,VERB,13108
calculer,PRON,13107
calendrier,VERB,13109
calendrier de réunions,VERB,16733
calepin,VERB,15734
caleçon,VERB,17971
calice,VERB,21364
calme,VERB,23828
calèche,VERB,20601
cambrioleur,PREP,23683
camion,VERB,17781
camion benne,VERB,13890
camion de pompiers,VERB,14186
camionnette,VERB,18000
camp,VERB,12633
camp de vacances,VERB,17461
campagne,VERB,13424
campement,VERB,13112
camping-car,VERB,13113
caméléon,VERB,13150
caméra,VERB,13111
canada,VERB,13116
canal,VERB,24619
canal déférent,VERB,18001
canalisation_,VERB,16187
canapé,VERB,13419
canard,VERB,12840
cancer,VERB,22640
canette,VERB,13115
canidé,VERB,12380
canne,VERB,13119
canneberge,VERB,13433
cannelle,VERB,22312
canon,VERB,13120
canot,VERB,22076
canot automobile,VERB,22074
canot de sauvetage,VERB,22078
canot pneumatique,VERB,22086
canotage,VERB,21801
canoë,VERB,22050
cantine,VERB,16498
cantique,VERB,21074
canton,VERB,16423
capacité,VERB,12322
capitaine,VERB,24744
capricorne,VERB,22646
car,NOUN,12647
carabine,VERB,16510
caractère numérique,NOUN,23476
caractère sacré de la vie,VERB,21087
caramel,VERB,22375
caravane,VERB,13113
carbonnade,VERB,23473
cardiologue,PREP,21582
caresser,PRON,17443
cargo,VERB,22069
caribou,VERB,16478
carie,VERB,13138
carillon,VERB,23814
carnet,VERB,15734
carotte,VERB,13124
carpette,VERB,16696
carriole,VERB,13127
carrière,VERB,21360
carrosse,VERB,20601
carré,VERB,17242
cartable,VERB,23650
carte,VERB,23431
carte bancaire,VERB,23415
carte de crédit,VERB,24633
carte de la saint-valentin,VERB,17997
carte de stationnement,VERB,23914
carte de téléphone,VERB,23677
carte géographique,VERB,15421
carte maritime,VERB,24745
carte postale,VERB,16227
carte topographique,VERB,15421
cartographe,PREP,23433
cartographie,VERB,23434
